segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
21,E (200k),0.6806,2.3254,0.2208,0.3880,0.3086,20,0.6246,null,-18.0650,-17.9899,-1.9183,-2.0277,-0.0255,-0.0145,0.6727,0.8608,37.8458,0.5267,29.8733,0.1353,0.3036,-1.0692,0.2559,0.3889,6.2321
21,F,0.7590,3.3218,0.2788,0.4305,0.3990,20,0.6696,null,-16.9359,-17.6335,-1.5988,-1.6604,-0.0049,0.0076,0.7719,0.8773,42.4144,0.5734,31.0556,0.2056,0.6476,-1.5150,0.2559,0.3889,5.9840
21,G (200k),0.8003,14.2970,0.5108,0.5715,0.6573,33,0.7510,null,-8.6321,-8.6686,-1.3940,-1.4776,0.4972,0.4316,0.6510,0.8997,44.4158,0.6409,52.0477,1.0028,1.0486,-0.4765,0.2559,0.3889,15.9690
21,GPT-4,0.8057,11.0406,0.7082,0.8136,0.8760,100,0.7752,-4,-2.4580,-1.5212,-0.8589,-1.0446,0.9756,0.9743,0.7323,0.9061,41.0138,0.6441,54.0246,1.3441,1.1718,0.3837,0.2559,0.3889,12.8673
21,Gemini-1.5-Pro,0.8009,12.3787,0.7339,0.8169,0.8779,100,0.7714,-0,-1.6941,-1.1562,-0.8492,-1.0463,0.9875,0.9965,0.8850,0.9078,41.6470,0.6451,54.1288,1.3745,1.1626,0.4928,0.2559,0.3889,16.0683
21,H (400k),0.7477,7.0741,0.4574,0.4822,0.4114,20,0.7437,null,-15.9698,-15.4722,-1.6509,-1.7597,0.2307,0.1923,0.6793,0.8909,39.0757,0.6195,45.9625,0.5989,0.8972,-1.0360,0.2559,0.3889,10.1063
21,I (400k),0.7947,9.5437,0.6093,0.6496,0.6972,60,0.7787,null,-6.2926,-6.4260,-1.0210,-1.0930,0.7841,0.6604,0.6997,0.9104,44.5063,0.6546,54.4787,1.1048,1.1020,-0.1605,0.2559,0.3889,12.4670
21,IKUN,0.8049,12.6243,0.7044,0.8008,0.8711,95,0.7598,-5.4000,-2.6542,-2.1327,-1.0395,-1.1669,0.9308,0.9461,0.8620,0.9168,44.9684,0.6462,53.0681,1.3276,1.1815,0.4574,0.2559,0.3889,16.2621
21,IKUN-C,0.8030,13.1579,0.7065,0.7868,0.8755,100,0.7534,-0,-3.0708,-2.7594,-0.9561,-1.1562,0.9775,0.9699,0.8885,0.9056,38.0563,0.6277,52.9576,1.3553,1.2035,0.4823,0.2559,0.3889,14.8278
21,IOL_Research,0.8060,11.8849,0.7021,0.8010,0.8738,100,0.7683,-0.2000,-2.3453,-1.5761,-0.8356,-1.0330,0.9742,0.9727,0.7582,0.9059,38.9092,0.6359,53.4545,1.3632,1.1590,0.4311,0.2559,0.3889,13.6724
