segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
71,GPT-4,0.8368,29.8476,0.7376,0.8919,0.8807,100,0.7028,-2,-3.3855,-3.4773,-1.6177,-1.7666,0.8931,0.7365,0.9402,0.8370,26.0929,0.5664,48.5214,1.3936,1.0976,0.3133,0.2473,0.0538,22.9003
71,Gemini-1.5-Pro,0.8548,34.8602,0.7745,0.8999,0.8854,100,0.7116,-0,-2.5710,-2.9271,-1.4188,-1.5365,0.9489,0.8650,0.9315,0.8578,30.0014,0.5869,52.9479,1.3984,1.1061,0.3212,0.2473,0.0538,28.6778
71,IKUN-C,0.8046,16.0967,0.7176,0.8726,0.8125,60,0.6499,-10,-5.2485,-5.1657,-1.8605,-1.9950,0.6095,0.4018,0.9442,0.7941,16.4795,0.4951,44.1128,1.2714,1.0020,0.4265,0.2473,0.0538,9.0563
71,IOL_Research,0.8461,36.0625,0.7639,0.8980,0.8912,100,0.7033,-0,-3.3211,-3.1954,-1.5353,-1.6872,0.9090,0.8282,0.9345,0.8493,30.7936,0.5844,48.1736,1.4023,1.1061,0.3301,0.2473,0.0538,27.9936
71,Llama3-70B,0.8276,27.5621,0.7235,0.8873,0.8679,100,0.6977,-6,-3.3281,-3.6919,-1.6946,-1.8999,0.8716,0.6538,0.9441,0.8281,24.8809,0.5584,51.7458,1.3675,1.0777,0.2731,0.2473,0.0538,22.6797
71,NTTSU,0.8203,21.7820,0.7131,0.8855,0.8821,100,0.7098,-1,-3.3973,-3.5240,-1.7738,-2.0219,0.8360,0.6910,0.9464,0.8184,20.4680,0.5500,50.2100,1.3750,1.0747,0.2834,0.2473,0.0538,19.7625
71,ONLINE-B,0.8835,54.6273,0.7538,0.8924,0.8025,80,0.8043,-8,-4.4638,-4.2434,-1.2056,-1.3079,0.6201,0.3759,0.9510,0.8853,49.9191,0.7360,48.5164,1.3646,1.0308,0.3047,0.2473,0.0538,49.8842
71,Team-J,0.8059,19.4648,0.7447,0.8973,0.8692,75,0.6872,-1,-3.2253,-2.8337,-1.8286,-1.9912,0.7835,0.5013,0.9392,0.8013,18.0978,0.5260,52.5591,1.3997,1.0605,0.4135,0.2473,0.0538,18.2905
71,Unbabel-Tower70B,0.8311,29.1181,0.7481,0.8974,0.8994,100,0.7031,-0,-3.2946,-3.2891,-1.6606,-1.7811,0.8929,0.8423,0.9369,0.8351,25.6125,0.5648,49.9775,1.3979,1.0944,0.3116,0.2473,0.0538,22.9644
72,A,0.5044,0.2836,-0.0213,0.2514,0.4000,0,0.1002,null,-18.6496,-19.2036,-2.6889,-2.8223,0.0091,0.0081,0.8545,0.4418,2.3572,0.0752,46.6647,0.1163,0.1826,-2.6419,0.1539,-0.1417,0.4284
72,Aya23,0.8480,34.8851,0.8267,0.8944,0.8829,100,0.7280,-3,-3.8325,-3.5830,-1.0630,-1.1838,0.9502,0.8940,0.9429,0.8509,33.5463,0.6111,54.9921,1.3667,1.0292,0.2894,0.1539,-0.1417,29.7107
72,B,0.6351,4.1486,0.1505,0.3778,0.3012,0,0.4422,null,-16.7967,-17.0930,-3.1324,-3.1915,-0.0303,-0.0137,0.8757,0.5971,8.1924,0.3240,34.3687,0.1287,0.1696,-2.6464,0.1539,-0.1417,1.4282
72,C,0.6916,5.0647,0.2761,0.4696,0.3491,20,0.5340,null,-17.0385,-17.4807,-3.0038,-3.1166,0.0030,0.0143,0.8875,0.6581,10.5006,0.3937,48.9591,0.1609,0.1748,-2.5862,0.1539,-0.1417,7.0330
